,PetID,metadata_topicality_max,metadata_topicality_mean,metadata_topicality_min,metadata_topicality_0_mean,metadata_topicality_0_max,metadata_topicality_0_min,L_metadata_0_cat_sum,L_metadata_0_dog_sum,L_metadata_any_cat_sum,L_metadata_any_dog_sum
0,e736f4022,0.99280214,0.780763739212963,0.5183371,0.9817285533333333,0.99280214,0.96800137,2,0,2.0,1.0
1,f861fe441,0.947437,0.7681156716666667,0.5357518,0.9427037274999999,0.947437,0.93981856,0,4,0.0,4.0
2,6da1ee245,0.99411833,0.7608747164271429,0.500069,0.9572045507999999,0.99411833,0.8181537,15,2,21.0,8.0
3,8f32c880e,0.98515815,0.8173947258333333,0.53592575,0.9843264125,0.98515815,0.98337346,0,4,0.0,4.0
4,9ca31b395,0.993821,0.8237263788888889,0.5845407,0.9929679,0.993821,0.9923593,5,0,5.0,0.0
5,f8e3fabe6,0.96293837,0.7658694834233822,0.5070181,0.9495682753846155,0.96293837,0.9384353,0,12,0.0,13.0
6,fcc2ea490,0.96547794,0.7192681735085978,0.5129553,0.9552177166666667,0.96547794,0.94455916,0,6,0.0,6.0
7,694a730b4,0.9737281,0.748446311223545,0.5078672,0.93649308,0.9737281,0.9095209,0,9,0.0,12.0
8,db03ddc32,0.99208,0.8069220993402779,0.5023824,0.982130909375,0.99208,0.95050883,16,0,16.0,3.0
9,b7d23de06,0.9763318,0.7978544338492064,0.5203305,0.9590377,0.9763318,0.9436422,0,6,0.0,7.0
10,0c49c9df2,0.9926689,0.7797566611111113,0.5154994,0.99260028,0.9926689,0.99253166,2,0,2.0,0.0
11,9951dff79,0.9799166,0.7496334871825396,0.5253827,0.8839864350000001,0.9799166,0.70697814,0,1,0.0,2.0
12,1acab1703,0.9890731,0.7955195069444445,0.512317,0.9862976400000001,0.9890731,0.9829726,0,4,0.0,4.0
13,4605a3467,0.99227583,0.729478496793651,0.52183676,0.895128498,0.99227583,0.5826468,3,0,3.0,0.0
14,8b94ae06d,0.99466825,0.814895489111111,0.5477323,0.9925754600000001,0.99466825,0.99101704,5,0,5.0,0.0
15,2ce1c6a93,0.9755973,0.78770875175,0.53685987,0.95867117,0.9755973,0.93862116,0,5,0.0,5.0
16,9fb8e5e73,0.984425,0.801613914,0.5237801,0.9738310379999999,0.984425,0.9570885,0,5,1.0,5.0
17,181d40c5e,0.98008275,0.7988828893611111,0.5481841,0.9775285159999999,0.98008275,0.9729337,0,5,0.0,5.0
18,13fcf57ff,0.99350053,0.7854117150317461,0.50880337,0.986609781,0.99350053,0.9699859,10,0,10.0,1.0
19,f522ad8d4,0.9431673,0.7515535199074074,0.5009698,0.9308855853333334,0.9431673,0.8573243,0,14,0.0,15.0
20,84e146ba6,0.9720108,0.8040041544444445,0.56430817,0.96923012,0.9720108,0.96644944,0,2,0.0,2.0
21,69daafdd4,0.9706543,0.8426425077777777,0.54878414,0.9696053633333334,0.9706543,0.96887064,0,3,0.0,3.0
22,cc068a979,0.99408823,0.7852602206944445,0.51893383,0.9819882719999999,0.99408823,0.921151,10,0,10.0,4.0
23,f0788c412,0.99398535,0.8278137797222223,0.61232674,0.992200925,0.99398535,0.9904165,2,0,2.0,0.0
24,be38039cc,0.9753559,0.7719286845299144,0.504531,0.9572765746153844,0.9753559,0.9410911,0,13,0.0,13.0
25,dc3ebf72a,0.9937603,0.8134896352777778,0.56854063,0.9925620175,0.9937603,0.9914318,4,0,4.0,0.0
26,57189db08,0.9938502,0.7801778788888889,0.5531207,0.992767765,0.9938502,0.99168533,2,0,2.0,0.0
27,4f7a70728,0.9792377,0.803294654017094,0.5518882,0.9614687992307692,0.9792377,0.94063336,0,13,0.0,13.0
28,94b587221,0.994372,0.7892331279012345,0.5233411,0.9871371033333332,0.994372,0.9674662,9,0,9.0,1.0
29,26a351904,0.99215907,0.7796935502314816,0.5449202,0.9910157533333334,0.99215907,0.99024725,3,0,3.0,0.0
30,b126131d8,0.9935386,0.7976677507407408,0.56826454,0.99299678,0.9935386,0.9925584,3,0,3.0,0.0
31,ad8569001,0.9684678,0.7863217253333334,0.52683187,0.965154514,0.9684678,0.9627855,0,5,0.0,5.0
32,416d8761e,0.99463326,0.8192349854761903,0.5217043,0.9817978935714287,0.99463326,0.9444181,10,0,11.0,2.0
33,029c248a5,0.99244744,0.7409327035555555,0.5103785,0.8576090039999998,0.99244744,0.5103785,3,0,3.0,0.0
34,b2048c71d,0.9785087,0.7499696344444444,0.5093256,0.9660624,0.9785087,0.9536161,0,2,0.0,2.0
35,44598cf69,0.9932468,0.8245346521164021,0.5189086,0.9745336833333332,0.9932468,0.93801945,2,0,2.0,1.0
36,7a1609dd4,0.991955,0.8276871814814815,0.57882726,0.9691535433333334,0.991955,0.9242249,2,0,2.0,0.0
37,d45e400b8,0.9834647,0.7945152822222223,0.55489206,0.9690506525,0.9834647,0.9476624,0,4,0.0,4.0
38,9568aa267,0.98935324,0.7582203091666666,0.5109824,0.9475091075,0.98935324,0.82761765,4,0,4.0,1.0
39,ba4f42314,0.99431115,0.7946703866666667,0.5612991,0.9602857833333333,0.99431115,0.8923823,2,0,3.0,1.0
40,a40a8c0ce,0.98770595,0.7867697293333333,0.5357742,0.9812714579999999,0.98770595,0.97485304,0,5,0.0,5.0
41,c1a9d98fb,0.9939853,0.8506450145938373,0.6281184,0.9904071741176471,0.9939853,0.9810914,17,0,17.0,0.0
42,ebb34fea1,0.9922642,0.8125358522222221,0.58717304,0.974762625,0.9922642,0.9262586,3,0,4.0,0.0
43,6da65afb8,0.97088575,0.7450031767222222,0.50179005,0.9456545286666669,0.97088575,0.9015319,0,13,0.0,13.0
44,14a1d0eb4,0.97405213,0.7589264248194445,0.5002469,0.9461724110000003,0.97405213,0.9079267,0,18,0.0,19.0
45,742462799,0.9790818,0.7677722765888889,0.50067794,0.954021758,0.9790818,0.82872754,0,20,0.0,20.0
46,748207a86,0.99330366,0.7935400069444444,0.5358075,0.9911381725,0.99330366,0.98700553,4,0,4.0,1.0
47,4ccb3f896,0.9934456,0.7933344086666666,0.50361264,0.9386253100000002,0.9934456,0.89501315,4,0,4.0,2.0
48,24dbfaf39,0.9929503,0.7749388519056437,0.5018281,0.9635856583333333,0.9929503,0.7717422,13,2,16.0,4.0
49,ea3de2587,0.9425066,0.7856543996296296,0.54009885,0.9399954233333334,0.9425066,0.93786514,0,3,0.0,3.0
50,8a3efc6c4,0.991686,0.8865856966666666,0.7641155,0.991686,0.991686,0.991686,1,0,1.0,0.0
51,fded1ee28,0.9843967,0.7658662010466268,0.5061851,0.970657025,0.9843967,0.93906134,0,8,0.0,8.0
52,6819ce556,0.97610027,0.8006704688888888,0.5308507,0.974565335,0.97610027,0.9730304,0,2,0.0,2.0
53,3f169c299,0.96560496,0.7812670410453042,0.5023548,0.9332713675000001,0.96560496,0.8229327,0,9,0.0,12.0
54,edd8e11d2,0.99245846,0.7749933234259259,0.5034524,0.9518449166666668,0.99245846,0.7656361,5,1,5.0,1.0
55,1ef39cee1,0.9845251,0.8008693827604167,0.50290936,0.9546740675000001,0.9845251,0.9329893,0,7,1.0,7.0
56,8054aad26,0.9408518,0.6961580505208333,0.5097103,0.8421318099999999,0.9408518,0.5553804,0,4,0.0,4.0
57,ba7ae0448,0.9942813,0.8035332098148147,0.56201005,0.9896869166666667,0.9942813,0.98074985,3,0,3.0,0.0
58,33dc6b53a,0.99434286,0.7786922507619047,0.51560205,0.937054066,0.99434286,0.8642386,3,1,5.0,3.0
